value_id,sensor_id,timestamp,value
18730551.0,5893,2020-02-26 00:00:00,0
18731650.0,5893,2020-02-26 00:01:00,0
18732755.0,5893,2020-02-26 00:02:00,0
18733868.0,5893,2020-02-26 00:03:00,0
18734960.0,5893,2020-02-26 00:04:00,0
18736058.0,5893,2020-02-26 00:05:00,0
18737149.0,5893,2020-02-26 00:06:00,0
18738257.0,5893,2020-02-26 00:07:00,0
18739345.0,5893,2020-02-26 00:08:00,0
18740460.0,5893,2020-02-26 00:09:00,0
18741574.0,5893,2020-02-26 00:10:00,0
18742692.0,5893,2020-02-26 00:11:00,0
18743805.0,5893,2020-02-26 00:12:00,0
18744925.0,5893,2020-02-26 00:13:00,0
18746038.0,5893,2020-02-26 00:14:00,0
18747155.0,5893,2020-02-26 00:15:00,0
18748266.0,5893,2020-02-26 00:16:00,0
18749383.0,5893,2020-02-26 00:17:00,0
18750498.0,5893,2020-02-26 00:18:00,0
18751603.0,5893,2020-02-26 00:19:00,0
18752717.0,5893,2020-02-26 00:20:00,0
18753837.0,5893,2020-02-26 00:21:00,0
18754955.0,5893,2020-02-26 00:22:00,0
18756052.0,5893,2020-02-26 00:22:59,0
18757190.0,5893,2020-02-26 00:24:00,0
18758288.0,5893,2020-02-26 00:25:00,0
18759407.0,5893,2020-02-26 00:26:00,0
18760524.0,5893,2020-02-26 00:27:00,0
18761622.0,5893,2020-02-26 00:28:00,0
18762737.0,5893,2020-02-26 00:29:00,0
18763855.0,5893,2020-02-26 00:30:00,0
18764973.0,5893,2020-02-26 00:31:00,0
18766084.0,5893,2020-02-26 00:32:00,0
18767186.0,5893,2020-02-26 00:33:00,0
18768301.0,5893,2020-02-26 00:34:00,0
18769411.0,5893,2020-02-26 00:35:00,0
18770529.0,5893,2020-02-26 00:36:00,0
18771650.0,5893,2020-02-26 00:37:00,0
18772766.0,5893,2020-02-26 00:38:00,0
18773859.0,5893,2020-02-26 00:39:00,0
18774962.0,5893,2020-02-26 00:40:00,0
18776067.0,5893,2020-02-26 00:41:00,0
18777155.0,5893,2020-02-26 00:42:00,0
18778262.0,5893,2020-02-26 00:43:00,0
18779374.0,5893,2020-02-26 00:44:00,0
18780478.0,5893,2020-02-26 00:45:00,0
18781592.0,5893,2020-02-26 00:46:00,0
18782696.0,5893,2020-02-26 00:47:00,0
18783815.0,5893,2020-02-26 00:48:00,0
18784926.0,5893,2020-02-26 00:49:00,0
18786043.0,5893,2020-02-26 00:50:00,0
18787155.0,5893,2020-02-26 00:51:00,0
18788258.0,5893,2020-02-26 00:52:00,0
18789357.0,5893,2020-02-26 00:53:00,0
18790468.0,5893,2020-02-26 00:54:00,0
18791556.0,5893,2020-02-26 00:55:00,0
18792675.0,5893,2020-02-26 00:56:00,0
18793785.0,5893,2020-02-26 00:57:00,0
18794907.0,5893,2020-02-26 00:58:00,0
18796005.0,5893,2020-02-26 00:59:00,0
18797123.0,5893,2020-02-26 01:00:00,0
18798241.0,5893,2020-02-26 01:01:00,0
18799353.0,5893,2020-02-26 01:02:00,0
18800470.0,5893,2020-02-26 01:03:00,0
18801587.0,5893,2020-02-26 01:04:00,0
18802704.0,5893,2020-02-26 01:05:00,0
18803806.0,5893,2020-02-26 01:06:00,0
18804893.0,5893,2020-02-26 01:07:00,0
18806009.0,5893,2020-02-26 01:08:00,0
18807122.0,5893,2020-02-26 01:09:00,0
18808236.0,5893,2020-02-26 01:10:00,0
18809344.0,5893,2020-02-26 01:11:00,0
18810439.0,5893,2020-02-26 01:12:00,0
18811543.0,5893,2020-02-26 01:13:00,0
18812657.0,5893,2020-02-26 01:14:00,0
18813779.0,5893,2020-02-26 01:15:00,0
18814865.0,5893,2020-02-26 01:16:00,0
18815953.0,5893,2020-02-26 01:17:00,0
18817056.0,5893,2020-02-26 01:18:00,0
18818176.0,5893,2020-02-26 01:19:00,0
18819291.0,5893,2020-02-26 01:20:00,0
18820380.0,5893,2020-02-26 01:21:00,0
18821471.0,5893,2020-02-26 01:22:00,0
18822587.0,5893,2020-02-26 01:23:00,0
18823705.0,5893,2020-02-26 01:24:00,0
18824823.0,5893,2020-02-26 01:25:00,0
18825937.0,5893,2020-02-26 01:26:00,0
18827057.0,5893,2020-02-26 01:27:00,0
18828162.0,5893,2020-02-26 01:28:00,0
18829264.0,5893,2020-02-26 01:29:00,0
18830354.0,5893,2020-02-26 01:30:00,0
18831459.0,5893,2020-02-26 01:31:00,0
18832558.0,5893,2020-02-26 01:32:00,0
18833645.0,5893,2020-02-26 01:33:00,0
18834746.0,5893,2020-02-26 01:34:00,0
18835846.0,5893,2020-02-26 01:35:00,0
18836964.0,5893,2020-02-26 01:36:00,0
18838083.0,5893,2020-02-26 01:37:00,0
18839201.0,5893,2020-02-26 01:38:00,0
18840300.0,5893,2020-02-26 01:39:00,0
18841404.0,5893,2020-02-26 01:40:00,0
18842520.0,5893,2020-02-26 01:41:00,0
18843637.0,5893,2020-02-26 01:42:00,0
18844753.0,5893,2020-02-26 01:43:00,0
18845872.0,5893,2020-02-26 01:44:00,0
18846991.0,5893,2020-02-26 01:45:00,0
18848106.0,5893,2020-02-26 01:46:00,0
18849227.0,5893,2020-02-26 01:47:00,0
18850344.0,5893,2020-02-26 01:48:00,0
18851463.0,5893,2020-02-26 01:49:00,0
18852570.0,5893,2020-02-26 01:50:00,0
18853655.0,5893,2020-02-26 01:51:00,0
18854769.0,5893,2020-02-26 01:52:00,0
18855868.0,5893,2020-02-26 01:53:00,0
18856979.0,5893,2020-02-26 01:54:00,0
18858093.0,5893,2020-02-26 01:55:00,0
18859203.0,5893,2020-02-26 01:56:00,0
18860323.0,5893,2020-02-26 01:57:00,0
18861444.0,5893,2020-02-26 01:58:00,0
18862559.0,5893,2020-02-26 01:59:00,0
18863669.0,5893,2020-02-26 02:00:00,0
18864784.0,5893,2020-02-26 02:01:00,0
18865902.0,5893,2020-02-26 02:02:00,0
18867023.0,5893,2020-02-26 02:03:00,0
18868144.0,5893,2020-02-26 02:04:00,0
18869253.0,5893,2020-02-26 02:05:00,0
18870372.0,5893,2020-02-26 02:06:00,0
18871468.0,5893,2020-02-26 02:07:00,0
18872575.0,5893,2020-02-26 02:08:00,0
18873688.0,5893,2020-02-26 02:09:00,0
18874790.0,5893,2020-02-26 02:10:00,0
18875891.0,5893,2020-02-26 02:11:00,0
18876987.0,5893,2020-02-26 02:12:00,0
18878083.0,5893,2020-02-26 02:13:00,0
18879183.0,5893,2020-02-26 02:14:00,0
18880295.0,5893,2020-02-26 02:15:00,0
18881406.0,5893,2020-02-26 02:16:00,0
18882518.0,5893,2020-02-26 02:17:00,0
18883620.0,5893,2020-02-26 02:18:00,0
18884694.0,5893,2020-02-26 02:19:00,0
18885803.0,5893,2020-02-26 02:20:00,0
18886905.0,5893,2020-02-26 02:21:00,0
18888023.0,5893,2020-02-26 02:22:00,0
18889138.0,5893,2020-02-26 02:23:00,0
18890255.0,5893,2020-02-26 02:24:00,0
18891355.0,5893,2020-02-26 02:25:00,0
18892469.0,5893,2020-02-26 02:26:00,0
18893585.0,5893,2020-02-26 02:27:00,0
18894700.0,5893,2020-02-26 02:28:00,0
18895815.0,5893,2020-02-26 02:29:00,0
18896932.0,5893,2020-02-26 02:30:00,0
18898048.0,5893,2020-02-26 02:31:00,0
18899163.0,5893,2020-02-26 02:32:00,0
18900279.0,5893,2020-02-26 02:33:00,0
18901403.0,5893,2020-02-26 02:34:00,0
18902513.0,5893,2020-02-26 02:35:00,0
18903619.0,5893,2020-02-26 02:36:00,0
18904732.0,5893,2020-02-26 02:37:00,0
18905837.0,5893,2020-02-26 02:38:00,0
18906950.0,5893,2020-02-26 02:39:00,0
18908044.0,5893,2020-02-26 02:40:00,0
18909140.0,5893,2020-02-26 02:40:59,0
18910256.0,5893,2020-02-26 02:42:00,0
18911374.0,5893,2020-02-26 02:43:00,0
18912491.0,5893,2020-02-26 02:44:00,0
18913607.0,5893,2020-02-26 02:45:00,0
